Age,YearsProgram,Currency,HaveWorkedLanguage,WantWorkLanguage,Salary
,2 to 3 years,NA,Swift,Swift,NA
,9 to 10 years,British pounds sterling (£),JavaScript; Python; Ruby; SQL,Java; Python; Ruby; SQL,NA
,20 or more years,British pounds sterling (£),Java; PHP; Python,C; Python; Rust,113750
,14 to 15 years,NA,Matlab; Python; R; SQL,Matlab; Python; R; SQL,NA
,20 or more years,NA,NA,NA,NA
,6 to 7 years,NA,JavaScript; PHP; Rust,Clojure; Elixir; Erlang; Haskell; Rust; TypeScript,NA
,9 to 10 years,NA,Matlab; Python,JavaScript; Julia; Matlab; Python; R; SQL,NA
,10 to 11 years,NA,CoffeeScript; Clojure; Elixir; Erlang; Haskell; JavaScript; Python; Ruby,Clojure; Elixir; Haskell; Scala,NA
,13 to 14 years,NA,C#; JavaScript,F#; Go,NA
,13 to 14 years,NA,Objective-C; Swift,C#; Java; Objective-C; Swift,NA
,12 to 13 years,NA,R; SQL,C#; R; SQL,NA
,13 to 14 years,Canadian dollars (C$),NA,NA,NA
,20 or more years,NA,C; C++; Java,NA,NA
,15 to 16 years,NA,Java; JavaScript; Ruby; SQL,JavaScript; Ruby; Rust; Swift,NA
,20 or more years,British pounds sterling (£),Assembly; C; C++,Assembly; C; C++; Python,1.00E+05
,11 to 12 years,NA,JavaScript; VB.NET,C#; F#; JavaScript; R; VB.NET,NA
,8 to 9 years,NA,JavaScript,Clojure,NA
,20 or more years,U.S. dollars ($),C; Clojure; JavaScript; Matlab; Rust; SQL; Swift,Assembly; Clojure; Go; JavaScript; Rust; Swift; TypeScript,1.30E+05
,2 to 3 years,U.S. dollars ($),NA,NA,82500
,12 to 13 years,Euros (€),Perl; Python,Perl; Python,NA
,5 to 6 years,Brazilian reais (R$),NA,NA,NA
,20 or more years,NA,C#; JavaScript; SQL,C#; R; TypeScript,NA
,10 to 11 years,U.S. dollars ($),Java,Java; Scala; Swift,100764
,9 to 10 years,NA,PHP; SQL,Hack; JavaScript; PHP; SQL; Swift,NA
,18 to 19 years,NA,NA,NA,NA
,20 or more years,U.S. dollars ($),Java; Scala,JavaScript; Scala,1.75E+05
,13 to 14 years,Indian rupees (?),Java; JavaScript; Objective-C; Python; Swift,Go; Java; JavaScript; R; Swift,NA
,2 to 3 years,NA,NA,NA,NA
,20 or more years,NA,JavaScript; Python,JavaScript,NA
,5 to 6 years,NA,NA,NA,NA
,5 to 6 years,NA,NA,NA,NA
,6 to 7 years,U.S. dollars ($),NA,NA,NA
,6 to 7 years,NA,C#; Java,C++; C#; Haskell,NA
,7 to 8 years,NA,JavaScript,Haskell; Python; R; Rust; TypeScript,NA
,7 to 8 years,Euros (€),Assembly; C,C++; Elixir; Python,14838.70968
,9 to 10 years,NA,C#; JavaScript; Matlab; Python; R,JavaScript; Python; R,NA
,20 or more years,U.S. dollars ($),C#; F#; JavaScript; SQL,C#; F#; SQL; TypeScript,28200
,20 or more years,Euros (€),C#; Java; JavaScript,C#; JavaScript,118279.5699
,20 or more years,NA,C#; JavaScript; SQL; TypeScript,C#; F#; Haskell; TypeScript,NA
,20 or more years,NA,NA,NA,NA
,20 or more years,NA,C; C++; JavaScript; Lua; Python,C++; Lua; R,NA
,20 or more years,NA,NA,NA,NA
,5 to 6 years,U.S. dollars ($),Java; JavaScript; SQL,C++; C#; Java; JavaScript; SQL,NA
,1 to 2 years,NA,NA,NA,NA
,20 or more years,NA,Java; JavaScript; SQL; VBA,Clojure; Groovy; JavaScript; Scala,NA
,3 to 4 years,U.S. dollars ($),C; C++; Groovy; Java; Python,NA,NA
,9 to 10 years,NA,NA,NA,NA
,10 to 11 years,NA,C++; C#; Java; JavaScript; Lua; SQL,C++; C#; F#; JavaScript; SQL,NA
,8 to 9 years,NA,JavaScript; Ruby,Clojure; Elixir; JavaScript; Ruby,NA
,20 or more years,NA,C#; Java; SQL,F#; Go; TypeScript,NA
,Less than a year,NA,JavaScript,JavaScript,NA
,15 to 16 years,U.S. dollars ($),Assembly; C++; Groovy; Java; Perl; SQL,Assembly; C++; Groovy; Java; Perl; Python,NA
,4 to 5 years,Brazilian reais (R$),Java; JavaScript; PHP; Ruby,Clojure; Elixir; Go; Ruby,15674.20382
,20 or more years,British pounds sterling (£),Java; JavaScript,CoffeeScript; Clojure; Go; JavaScript,NA
,8 to 9 years,Euros (€),Java; JavaScript; PHP,TypeScript,64516.12903
,2 to 3 years,NA,Java; JavaScript; PHP; SQL; VB.NET,NA,NA
,3 to 4 years,U.S. dollars ($),C#,C#; F#,NA
,11 to 12 years,Euros (€),Go; Java,C#; Go; Java; Scala,43010.75269
,12 to 13 years,NA,C#; JavaScript; SQL,C#; F#; Go; JavaScript,NA
,14 to 15 years,NA,NA,NA,NA
,20 or more years,NA,C#,Assembly; C; C#; Matlab,NA
,3 to 4 years,Indian rupees (?),C#; JavaScript; SQL,Java; Objective-C,6636.323594
,20 or more years,NA,PHP,PHP,NA
,9 to 10 years,NA,C++; C#; Java; JavaScript; Python; Ruby; SQL; Swift; VBA,NA,NA
,11 to 12 years,Euros (€),C; C++; C#; Java; JavaScript; Matlab; SQL,Erlang; F#; R; SQL; Swift,69892.47312
,5 to 6 years,Polish zloty (zl),JavaScript,Go; JavaScript,17777.77778
,11 to 12 years,NA,C++; C#; Objective-C,C++; C#; Python,NA
,20 or more years,NA,C; C++; Python; SQL,C++; Java; Python,NA
,20 or more years,Euros (€),CoffeeScript; JavaScript; Ruby; SQL,Common Lisp; Clojure; Erlang; Go; JavaScript; Ruby; SQL,NA
,9 to 10 years,Euros (€),NA,NA,32258.06452
,2 to 3 years,U.S. dollars ($),CoffeeScript; JavaScript; Ruby,Elixir; JavaScript,6.50E+04
,8 to 9 years,NA,JavaScript; PHP; Python; SQL,JavaScript; PHP; Rust,NA
,20 or more years,U.S. dollars ($),C#; JavaScript; SQL,C#; F#; JavaScript; Python; Rust; TypeScript,1.20E+05
,14 to 15 years,NA,Elixir; Java; JavaScript; SQL,NA,NA
,3 to 4 years,NA,NA,NA,NA
,20 or more years,Euros (€),Assembly; C; C++; Java; JavaScript; Perl; Python; Ruby; SQL; TypeScript,Dart; Python,46236.55914
,20 or more years,U.S. dollars ($),C#; JavaScript,C#,96283
,6 to 7 years,NA,NA,NA,NA
,4 to 5 years,NA,NA,NA,NA
,20 or more years,NA,NA,NA,NA
,2 to 3 years,NA,C#; JavaScript; PHP; Python; SQL; TypeScript; VB.NET,NA,NA
