2016,2017,2018,2019,2020,2021,2022
,1923,4165,4659,2469,3578,3046
5734,4841,10316,11143,6091,9702,7856
12108,10187,20419,22449,13674,17999,15681
9176,7647,15289,16856,9756,15249,11896
1983,1308,2710,2752,,2413,1938
,,464,,,309,346
656,496,,4429,4742,7018,6083
,1565,,3788,,3374,3289
,1053,2760,2124,,1379,1224
2110,2034,3752,3521,,2157,1947
5152,5770,15529,17060,12605,15788,15500
3148,2306,5117,,2996,3453,2961
12302,9988,22556,23508,13264,17222,13345
18012,16327,38465,44739,26188,37008,31551
,515,1354,,1661,2445,2221
,,11992,13261,9575,10691,9316
927,931,2105,,,1562,1059
2601,1844,3549,2851,1525,1400,877
1310,1089,1929,,1150,1175,934
6541,5365,12244,12837,7106,8852,7325
13495,12570,32795,40006,26682,34929,29350
2784,2628,7041,6734,4271,4015,2934
5607,3966,7824,7251,4184,4942,3907
2805,2718,7857,10497,10563,15865,17113
3896,3122,6219,5562,3465,3165,2451
6595,4530,9708,8800,5643,6353,5071
,5692,16896,23720,17150,26905,26050
,445,1067,1641,1055,1069,923
